Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Maya Khola Hydropower Company Limited,2025/26 Q3,285.80,319.70,0.80,0.28%,-3.77%,-10.13%,-19.94%,-36.14%,"2,858,000,000.00","1,000,000.00","-368,485.00","296,962.00","296,962.00","29,251.00",0.00,100.00%,15.95%,84.05%,33.89%,-22.02%,100.00%,15.03%,97.64%,59.71%,4.28%,6.11%,-9.12%,2.40%,1.33%,-1.98%,0.51%,3.90,-5.82,1.49,3.90,63.15,73.27,73.27,-49.04,191.63,4.52,46.78%,46.78%,85.05%,463.86%,1.25,0.80,-2.19%,-3.12%,-15.13%,-21.48%,4.46%,-0.88%,-506.82%,39.74%,37.15,-6.58%,-10.91%,-40.34%,0.23
Asian Hydropower Limited,2025/26 Q3,413.10,492.95,2.70,-1.64%,-1.88%,-19.00%,-23.92%,-36.27%,"1,404,540,000.00","340,000.00","-97,383.60","51,964.85","30,152.72","-49,240.48",0.00,0.00%,0.00%,0.00%,0.00%,0.00%,69.48%,12.58%,56.91%,5.96%,-50.53%,-25.97%,-32.17%,-16.69%,-6.02%,-7.46%,-4.14%,-19.30,-23.92,-13.75,-19.30,71.35,-21.39,-21.39,-17.26,-30.04,5.78,26.78%,24.35%,96.16%,444.06%,0.92,0.89,-2.19%,-3.13%,-12.03%,-17.17%,4.30%,-0.87%,-494.25%,57.29%,35.56,-14.81%,-15.82%,-38.94%,2.06
Kalinchowk Darshan Limited,2025/26 Q4,780.00,840.47,6.00,1.30%,0.66%,-5.11%,-1.27%,-25.12%,"4,680,000,000.00","630,000.00","58,012.76","125,872.38","82,290.29","57,684.46",0.00,58.76%,17.78%,58.76%,41.20%,34.16%,65.38%,15.58%,65.38%,53.85%,45.83%,8.43%,4.67%,8.81%,7.22%,4.00%,7.41%,9.15,5.07,9.15,9.15,109.20,85.18,85.18,153.67,85.18,7.14,179.69%,178.48%,10.88%,112.20%,1.04,0.52,-2.41%,-3.47%,-49.00%,-71.87%,5.53%,-0.59%,-937.29%,36.69%,46.00,-1.38%,-5.65%,-27.65%,-1.01
Super Mai Hydropower Limited,2025/26 Q3,509.00,593.83,-3.00,1.21%,0.16%,-12.09%,-13.84%,-31.13%,"2,723,150,000.00","535,000.00","165,598.96","138,409.18","119,462.93","37,792.05",0.00,86.45%,9.82%,76.68%,49.99%,23.60%,87.93%,5.08%,88.22%,61.81%,32.88%,7.25%,6.05%,9.05%,3.82%,3.19%,4.58%,9.41,7.86,11.48,7.84,130.95,64.85,54.04,64.70,44.32,3.88,307.45%,271.56%,50.33%,188.35%,0.88,0.62,-2.05%,-2.92%,-10.29%,-14.84%,3.89%,-0.72%,-540.28%,30.99%,44.79,-7.88%,-11.08%,-34.34%,3.52
Sanima Middle Tamor Hydropower Limited,2025/26 Q3,450.00,444.77,1.80,-0.22%,2.46%,-0.22%,1.35%,-12.32%,"14,996,250,000.00","3,332,497.00","588,890.38","1,311,728.59","1,134,531.53","251,016.35",0.00,83.96%,30.26%,51.26%,51.26%,16.57%,86.16%,27.38%,57.34%,57.34%,23.37%,8.61%,7.21%,11.84%,2.51%,2.10%,3.30%,10.04,8.40,13.35,10.04,117.67,44.80,44.80,53.55,33.68,3.82,165.34%,152.49%,75.77%,341.11%,0.95,1.07,-1.58%,-2.27%,-14.02%,-20.38%,3.10%,-0.26%,-1192.31%,49.49%,51.69,6.82%,-0.52%,-14.02%,0.53
Sagarmatha Jalabidhyut Company Limited,2025/26 Q3,449.90,467.67,31.90,1.79%,2.25%,-0.24%,-8.56%,-26.04%,"5,278,226,800.00","1,173,200.00","94,942.76","173,249.34","151,608.93","26,829.35",0.00,89.03%,6.81%,82.66%,54.51%,8.37%,84.05%,5.07%,79.43%,54.57%,9.18%,2.83%,1.34%,1.65%,1.64%,0.78%,0.94%,3.04,1.44,1.77,3.04,108.09,147.54,147.54,311.52,253.50,4.16,317.85%,44.87%,54.77%,171.83%,1.11,1.32,-1.93%,-2.78%,-14.22%,-20.78%,3.33%,-0.58%,-574.14%,24.02%,50.99,3.97%,-6.29%,-26.06%,0.16
Molung Hydropower Company Limited,2025/26 Q3,312.10,351.32,-8.90,-0.98%,-1.39%,-10.83%,-19.77%,-32.66%,"2,504,602,500.00","802,500.00","-97,183.03","148,618.04","138,284.73","62,615.12",0.00,82.56%,20.44%,62.29%,15.97%,-18.66%,90.43%,12.83%,80.99%,55.10%,32.86%,11.80%,-2.73%,8.82%,7.36%,-1.70%,5.22%,10.40,-2.40,7.44,10.40,87.89,29.99,29.99,-129.73,41.92,3.55,639.59%,639.59%,38.45%,159.11%,1.21,1.08,-2.38%,-3.42%,-22.49%,-32.56%,3.58%,-0.77%,-464.94%,52.45%,40.42,-7.43%,-10.39%,-32.66%,0.44
Aatmanirbhar Laghubitta Bittiya Sanstha Limited,2025/26 Q4,"5,524.00","6,177.55",124.00,-3.04%,-4.73%,-8.01%,3.82%,9.54%,"4,327,683,892.00","89,507.20","234,850.93","232,898.68","153,659.59","62,399.54",0.00,65.19%,67.76%,0.00%,6.13%,20.72%,65.98%,52.96%,0.00%,22.23%,26.79%,17.72%,15.83%,18.81%,2.92%,2.61%,3.16%,69.71,62.25,69.71,69.71,362.38,79.23,79.23,88.73,79.23,15.24,12.12%,10.76%,85.14%,672.84%,0.30,0.82,-2.57%,-3.74%,-38.20%,-58.30%,6.26%,0.16%,3912.50%,69.76%,42.49,-9.83%,5.34%,-23.28%,-88.36
Makar Jitumaya Suri Hydropower Limited,2025/26 Q3,435.00,499.61,-24.00,-0.66%,-5.02%,-11.41%,-20.18%,-27.98%,"3,306,000,000.00","760,000.00","119,974.38","323,952.00","313,686.30","87,117.47",0.00,96.92%,8.60%,88.32%,53.66%,9.85%,97.18%,12.11%,85.08%,60.17%,20.31%,13.25%,3.24%,9.70%,4.23%,1.04%,2.94%,15.28,3.73,10.64,15.28,115.78,28.46,28.46,116.36,40.85,3.75,2937.50%,2937.50%,67.76%,308.41%,1.17,1.20,-2.14%,-3.08%,-15.87%,-23.31%,3.80%,-0.77%,-493.51%,48.85%,32.79,-6.93%,-10.01%,-33.05%,-0.44
Mai Khola Hydropower Limited,2025/26 Q3,495.30,620.49,15.10,-2.88%,4.38%,-4.38%,-35.80%,-42.34%,"1,942,352,630.40","392,156.80","15,312.59","24,914.24","21,246.34","11,538.45",0.00,79.23%,15.47%,641.43%,546.24%,344.51%,85.53%,9.29%,151.17%,100.86%,29.33%,3.86%,17.96%,2.95%,2.26%,10.52%,1.70%,3.92,18.24,2.99,3.92,103.90,126.25,126.25,27.14,165.12,4.76,411.05%,201.00%,50.22%,168.01%,0.86,1.13,-2.26%,-3.24%,-14.51%,-21.32%,5.66%,-1.11%,-509.91%,62.54%,46.27,-1.89%,-27.11%,-43.18%,-1.22
