Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Nepal Micro Insurance Company Limited,2025/26 Q3,913.00,"1,104.44",-15.00,-0.98%,-1.19%,-8.70%,-24.35%,-41.56%,"6,847,500,000.00","750,000.00","-1,922.59","99,255.14","60,736.62","25,512.39",0.00,79.67%,23.98%,55.70%,49.33%,34.25%,69.70%,79.44%,35.38%,29.39%,19.50%,4.53%,6.38%,3.52%,2.88%,4.05%,2.42%,4.53,6.38,3.55,4.53,100.16,201.29,201.29,143.06,256.57,6.20,0.00%,0.00%,41.87%,172.02%,1.46,0.61,-3.21%,-4.62%,-50.56%,-73.01%,5.83%,-1.03%,-566.02%,49.66%,39.24,-9.21%,-16.84%,-41.61%,1.60
Crest Micro Life Insurance Limited,2025/26 Q3,"1,194.00","1,263.36",-60.60,0.08%,-0.18%,-1.16%,-0.25%,-10.61%,"8,955,000,000.00","750,000.00","45,630.76","364,247.85","140,768.41","12,102.53",0.00,54.50%,26.75%,2.16%,0.39%,0.28%,38.36%,23.96%,6.39%,4.77%,4.64%,2.03%,0.18%,3.10%,1.33%,0.12%,2.20%,2.15,0.18,3.23,2.15,111.16,554.94,554.94,"6,372.17",368.84,11.25,0.00%,0.00%,31.30%,145.57%,1.16,0.23,-3.21%,-4.65%,-51.72%,-75.86%,5.98%,-0.22%,-2718.18%,48.00%,46.72,9.43%,-2.66%,-23.89%,-0.34
Om Megashree Pharmaceuticals Limited,2025/26 Q3,905.00,"1,157.38",1.00,-3.10%,0.56%,-21.44%,-29.08%,-34.73%,"5,430,000,000.00","600,000.00","-14,974.05","140,229.70","87,305.76","-40,969.92",0.00,75.59%,53.24%,22.35%,-9.50%,-7.22%,44.82%,13.71%,50.30%,28.35%,-19.50%,-9.32%,-1.73%,-6.56%,-3.57%,-0.66%,-2.72%,-9.10,-1.68,-6.60,-9.10,97.50,-99.40,-99.40,-535.89,-137.11,9.28,138.85%,126.54%,61.77%,261.55%,1.50,2.56,-3.00%,-4.37%,-73.59%,-109.91%,4.54%,-0.86%,-527.91%,69.30%,35.06,-19.10%,-14.23%,-41.42%,5.47
Pure Energy Limited,2025/26 Q3,825.50,918.05,0.50,-3.21%,10.08%,-12.65%,-19.46%,-5.34%,"6,604,000,000.00","800,000.00","15,550.82","176,991.29","166,658.17","11,712.92",0.00,95.16%,13.92%,81.41%,35.19%,4.08%,94.14%,9.03%,91.25%,49.16%,14.69%,1.92%,1.22%,0.00%,0.72%,0.46%,1.67%,1.95,1.24,4.55,1.95,101.94,422.86,422.86,664.65,181.11,8.09,101.12%,26.55%,72.01%,264.78%,1.53,0.28,-2.91%,-4.24%,-45.09%,-67.25%,5.67%,-0.11%,-5154.55%,71.13%,44.61,-11.96%,-6.00%,-32.34%,2.41
Trade Tower Limited,2025/26 Q3,716.10,821.40,0.90,-0.60%,-0.06%,-10.71%,-9.10%,-31.99%,"5,840,581,061.70","815,609.70","50,052.31","67,540.80","46,003.89","15,007.42",-,66.10%,81.03%,92.10%,40.93%,22.50%,69.58%,88.46%,84.19%,32.08%,6.41%,2.32%,2.72%,0.83%,1.46%,1.71%,0.49%,2.45,2.87,0.80,2.45,106.13,291.88,291.88,248.91,891.33,6.74,49.57%,46.82%,0.00%,158.38%,1.76,1.10,-2.86%,-4.12%,-16.06%,-22.68%,5.37%,-0.74%,-725.68%,48.96%,41.62,-9.48%,-6.35%,-35.49%,0.67
Sanvi Energy Limited,2025/26 Q3,597.00,712.68,-3.00,0.59%,0.51%,-12.85%,-11.93%,-24.87%,"5,253,600,000.00","880,000.00","66,468.20","104,973.78","100,558.72","-56,079.94",0.00,0.00%,0.00%,0.00%,0.00%,0.00%,89.09%,30.82%,91.55%,40.92%,-21.37%,-7.85%,-4.96%,-4.46%,-2.98%,-1.88%,-1.64%,-8.49,-5.36,-4.62,-8.49,107.55,-70.26,-70.26,-111.18,-129.01,5.55,69.61%,69.61%,71.86%,264.49%,1.80,1.56,-2.81%,-4.08%,-18.98%,-26.73%,6.11%,-0.50%,-1222.00%,42.92%,43.36,-10.79%,-8.54%,-41.18%,3.39
Bikash Hydropower Company Limited,2025/26 Q3,494.00,548.55,1.90,1.65%,4.22%,-2.22%,-0.68%,0.00%,"4,490,960,422.00","909,101.30","87,596.39","138,139.74","129,024.13","71,083.09",0.00,94.11%,8.10%,86.01%,64.75%,49.86%,93.78%,7.52%,85.62%,67.64%,50.69%,9.61%,8.46%,0.00%,7.58%,6.67%,8.41%,10.42,9.18,11.11,10.42,109.63,47.38,47.38,53.80,44.46,4.50,952.31%,510.02%,23.04%,126.25%,1.49,1.28,-2.52%,-3.64%,-11.99%,-17.29%,9.12%,0.67%,1361.19%,45.81%,46.24,-1.16%,0.48%,0.00%,3.52
Him Star Urja Company Limited,2025/26 Q3,708.00,866.81,-1.00,-2.34%,4.42%,-18.62%,-22.11%,0.00%,"2,640,840,000.00","373,000.00","-78,386.96","133,213.00","35,233.01","-70,389.03",0.00,-41.50%,88.77%,-130.27%,-166.57%,-216.71%,26.45%,21.53%,5.32%,-13.42%,-52.84%,-28.87%,-73.22%,0.00%,-8.52%,-21.60%,0.00%,-25.16,-63.80,-18.87,-25.16,78.98,-28.13,-28.13,-11.09,-37.51,8.96,78.32%,41.31%,92.92%,363.64%,1.60,-1.62,-3.32%,-4.83%,-29.21%,-45.47%,9.85%,1.43%,688.81%,65.02%,42.24,-18.38%,-8.66%,0.00%,4.73
Mabilung Energy Limited,2025/26 Q3,595.60,688.95,6.60,0.02%,3.04%,-8.51%,-16.93%,0.00%,"2,297,967,744.00","385,824.00","4,610.53","57,587.35","49,153.93","-8,447.31",0.00,95.32%,6.11%,63.37%,2.30%,-77.28%,85.36%,11.70%,74.44%,34.88%,-14.67%,-2.85%,-13.13%,0.00%,-0.95%,-4.37%,0.00%,-2.91,-13.42,-2.18,-2.91,101.19,-204.02,-204.02,-44.35,-272.03,5.88,2232.35%,144.45%,71.70%,303.12%,1.57,0.61,-2.79%,-4.07%,-27.60%,-41.81%,8.35%,0.88%,948.86%,54.10%,43.47,-7.51%,0.00%,0.00%,4.48
Daramkhola Hydro Energy Limited,2025/26 Q3,576.00,639.10,-4.00,-0.69%,0.37%,-2.04%,-1.52%,0.00%,"5,935,680,000.00","1,030,500.00","288,730.28","86,269.34","81,428.96","-33,484.77",0.00,92.65%,6.75%,1.43%,-61.81%,-141.39%,94.39%,5.04%,89.55%,27.47%,-38.81%,-3.34%,-18.05%,0.00%,-1.66%,-8.97%,0.00%,-4.33,-23.39,-3.24,-4.33,128.01,-132.94,-132.94,-24.62,-177.26,4.49,70.20%,70.20%,62.82%,207.93%,1.32,1.16,-2.41%,-3.48%,-15.69%,-23.75%,6.61%,0.68%,972.06%,58.21%,45.44,-2.12%,0.00%,0.00%,-0.27
Sagar Distillery Limited,2025/26 Q3,"1,750.00","1,780.29",0.00,2.70%,10.90%,4.19%,2.95%,0.00%,"12,705,000,000.00","726,000.00","196,575.03","98,336.27","64,274.15","-35,357.20",0.00,74.40%,92.87%,-18.48%,-20.83%,-27.11%,60.37%,59.09%,43.39%,39.39%,-11.42%,-5.08%,-3.97%,-2.67%,-3.18%,-2.48%,-1.76%,-6.49,-5.06,-3.25,-6.49,127.07,-269.49,-269.49,-345.27,-538.34,13.77,199.13%,170.17%,37.53%,160.07%,1.78,1.53,-3.32%,-4.94%,-39.01%,-59.59%,13.46%,3.22%,418.01%,51.66%,56.09,6.11%,0.00%,0.00%,1.19
Bungal Hydro Limited,2025/26 Q3,585.10,646.71,-2.90,-0.32%,0.02%,0.22%,-5.67%,0.00%,"4,856,330,000.00","830,000.00","-127,181.05","236,641.64","225,724.45","-4,889.99",0.00,95.84%,22.66%,73.18%,11.05%,-63.50%,95.39%,8.58%,86.81%,48.21%,-2.07%,-0.91%,-18.15%,0.00%,-0.24%,-4.77%,0.00%,-0.78,-15.72,-0.58,-0.78,84.67,-744.83,-744.83,-37.20,-993.11,6.90,19.63%,19.63%,83.95%,388.48%,1.78,0.57,-3.81%,-5.51%,-14.91%,-21.96%,10.63%,0.74%,1436.49%,53.97%,43.13,3.00%,0.00%,0.00%,3.85
Swastik Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"2,025.00","2,453.73",-15.00,0.69%,-0.25%,-16.32%,-26.90%,0.00%,"1,169,437,500.00","57,750.00","34,037.11","72,913.38","42,129.68","9,240.49",0.00,52.46%,59.04%,0.00%,6.10%,4.27%,57.06%,50.47%,0.00%,18.32%,12.82%,13.48%,3.87%,15.28%,1.66%,0.48%,1.70%,21.33,6.12,21.44,21.33,158.93,94.91,94.91,330.59,94.42,12.74,3.46%,45.55%,87.88%,825.09%,1.61,1.81,-3.34%,-4.93%,-113.76%,-173.61%,14.82%,4.03%,367.74%,58.92%,41.81,-14.31%,0.00%,0.00%,6.98
Bandipur Cablecar and Tourism Limited,2025/26 Q3,697.00,838.40,-12.00,-3.17%,-2.24%,-13.95%,-10.45%,0.00%,"19,725,100,000.00","2,829,993.00","-229,305.91","16,608.06","2,521.87","-16,262.38",0.00,41.78%,9.72%,41.78%,5.65%,-33.21%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.83%,1.41%,0.00%,-0.56%,0.94%,0.00%,-0.76,1.29,0.00,-0.76,91.89,-909.69,-909.69,537.82,0.00,7.58,207.05%,201.52%,33.08%,149.43%,2.02,1.68,-2.97%,-4.33%,-20.51%,-30.17%,10.66%,1.60%,666.25%,67.44%,39.21,-11.87%,0.00%,0.00%,2.22
Jhapa Energy Limited,2025/26 Q3,"1,098.00","1,374.38",-10.00,-1.88%,-2.57%,-31.38%,-16.82%,0.00%,"4,174,486,200.00","380,190.00","8,969.24","81,683.37","72,416.67","16,062.41",0.00,86.23%,7.47%,78.76%,45.88%,19.80%,88.66%,8.34%,83.01%,51.48%,19.66%,5.54%,5.74%,0.00%,2.67%,2.76%,0.00%,5.63,5.82,4.22,5.63,102.35,194.91,194.91,188.34,259.89,10.72,110.22%,50.50%,56.91%,206.02%,1.69,1.21,-3.80%,-5.50%,-48.28%,-73.29%,12.69%,2.38%,533.19%,63.17%,40.30,-34.31%,0.00%,0.00%,9.19
Shreenagar Agritech Industries Limited,2025/26 Q3,"1,099.00","1,158.73",14.00,2.23%,27.94%,-4.85%,28.69%,0.00%,"17,927,437,500.00","1,631,250.00","177,814.71","1,360,773.00","177,759.93","20,058.68",0.00,12.39%,7.35%,5.04%,3.72%,0.92%,-1.82%,-1.12%,-1.95%,-3.15%,1.78%,1.48%,0.97%,0.56%,0.91%,0.60%,0.32%,1.63,1.07,0.44,1.63,110.90,670.31,670.31,"1,018.00","2,457.61",9.90,309.48%,184.83%,39.57%,165.48%,2.13,1.00,-3.39%,-4.95%,-38.40%,-59.92%,11.98%,2.53%,473.52%,51.07%,56.75,-0.84%,0.00%,0.00%,12.02
SY Panel Nepal Limited,2025/26 Q3,"1,280.00","1,586.82",28.80,-3.83%,-4.48%,-18.05%,21.21%,0.00%,"16,744,154,880.00","1,308,136.10","116,896.18","532,575.48","179,652.51","30,219.73",0.00,31.09%,4.15%,26.94%,24.37%,10.17%,0.00%,0.00%,0.00%,0.00%,0.00%,2.82%,6.25%,0.00%,2.35%,5.21%,0.00%,3.08,6.83,0.00,3.08,108.93,415.55,415.55,187.30,0.00,11.75,1057.00%,867.45%,16.97%,120.48%,1.64,5.36,-3.18%,-4.70%,-60.56%,-91.74%,12.69%,3.52%,360.51%,72.09%,36.64,-13.24%,0.00%,0.00%,-4.11
Salapa Bikas Bank Limited,2025/26 Q3,985.00,"1,153.00",4.80,-7.34%,12.57%,-19.33%,0.00%,0.00%,"5,145,521,800.00","522,388.00","19,593.11","112,831.19","55,749.75","-3,189.36","-6,242.48",60.87%,36.82%,0.00%,15.90%,15.90%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.79%,5.39%,0.00%,-0.20%,1.39%,0.00%,-0.81,5.52,0.00,-0.81,103.75,"-1,210.00","-1,210.00",178.37,0.00,9.49,0.00%,19.48%,73.76%,381.05%,2.25,19.84,-4.09%,-6.05%,-92.08%,-142.26%,17.01%,4.16%,408.89%,75.57%,45.66,-20.14%,0.00%,0.00%,-0.16
Reliance Spinning Mills Limited,2025/26 Q3,"2,541.60","3,008.41",-58.40,-15.95%,-15.25%,-31.12%,0.00%,0.00%,"48,290,400,000.00","1,900,000.00","7,550,066.61","7,482,022.62","970,187.08","266,892.12",0.00,13.23%,5.55%,7.67%,7.67%,4.84%,0.00%,0.00%,0.00%,0.00%,0.00%,3.79%,5.52%,0.00%,2.49%,3.62%,0.00%,18.72,27.25,0.00,18.72,497.37,135.70,135.70,93.25,0.00,5.11,199.60%,109.78%,32.54%,148.24%,1.22,26.39,-4.43%,-6.71%,-110.76%,-187.59%,19.87%,8.12%,244.70%,90.03%,27.15,-28.89%,0.00%,0.00%,-74.27
Hotel Forest Inn Limited,2025/26 Q3,709.00,760.51,6.50,0.71%,7.60%,-26.82%,0.00%,0.00%,"14,180,000,000.00","2,000,000.00","210,235.08","136,829.51","-4,766.72","-181,089.68",0.00,-3.48%,45.87%,-3.48%,-43.93%,-132.35%,0.00%,0.00%,0.00%,0.00%,0.00%,-21.85%,-65.55%,0.00%,-10.95%,-32.85%,0.00%,-12.07,-36.21,0.00,-12.07,110.51,-58.72,-58.72,-19.57,0.00,6.41,148.85%,145.25%,49.88%,199.52%,2.84,0.00,-4.71%,-7.11%,-137.91%,-219.47%,21.48%,8.80%,244.09%,64.68%,45.74,-28.77%,0.00%,0.00%,6.81
Solu Hydropower Limited,2025/26 Q3,662.00,647.03,-10.70,15.94%,16.14%,-4.34%,0.00%,0.00%,"66,200,000,000.00","10,000,000.00","3,548,610.93","2,112,492.26","1,056,881.38","858,102.78",0.00,33.18%,3.18%,30.17%,30.10%,24.07%,0.00%,0.00%,0.00%,0.00%,0.00%,8.75%,4.14%,0.00%,3.51%,1.66%,0.00%,11.44,5.41,0.00,11.44,135.48,57.86,57.86,122.19,0.00,4.88,604.36%,600.14%,61.06%,238.73%,2.81,0.00,-3.96%,-5.85%,-26.90%,-38.82%,13.62%,2.05%,664.39%,17.48%,61.99,-3.52%,0.00%,0.00%,12.22
Bhujung Hydropower Limited,2025/26 Q3,704.00,852.09,34.00,-1.68%,-4.86%,-23.34%,0.00%,0.00%,"7,040,000,000.00","1,000,000.00","-111,828.47","124,093.86","103,377.23","-24,428.84",0.00,75.34%,20.36%,54.98%,1.40%,-65.76%,0.00%,0.00%,0.00%,0.00%,0.00%,-4.04%,-9.49%,0.00%,-1.77%,-4.16%,0.00%,-3.25,-7.64,0.00,-3.25,88.81,-216.13,-216.13,-92.08,0.00,7.92,4824.65%,4824.65%,51.42%,205.23%,2.43,0.00,-4.65%,-6.87%,-66.84%,-101.72%,16.43%,2.54%,646.85%,60.16%,41.97,-25.98%,0.00%,0.00%,0.97
Super Khudi Hydropower Limited,2025/26 Q3,890.00,906.33,-16.00,2.18%,1.69%,0.68%,0.00%,0.00%,"13,795,000,000.00","1,550,000.00","591,950.58",0.00,0.00,"181,775.15",0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.36%,10.35%,0.00%,5.18%,4.34%,0.00%,15.63,13.10,0.00,15.63,138.19,56.91,56.91,67.93,0.00,6.44,71.73%,71.73%,68.04%,232.89%,2.74,0.00,-4.33%,-6.36%,-58.31%,-92.24%,17.76%,4.72%,376.27%,55.73%,47.94,-2.24%,0.00%,0.00%,3.64
Ridge Line Energy Limited,2025/26 Q3,886.00,928.74,1.00,2.10%,15.36%,-11.75%,0.00%,0.00%,"10,499,100,000.00","1,185,000.00","296,947.43","236,787.90","214,629.17","93,909.25",0.00,89.74%,2.98%,86.78%,62.69%,38.45%,0.00%,0.00%,0.00%,0.00%,0.00%,9.34%,8.47%,0.00%,4.96%,4.50%,0.00%,10.56,9.58,0.00,10.56,125.05,83.85,83.85,92.43,0.00,7.08,1323.37%,535.61%,45.30%,177.72%,2.56,0.00,-4.62%,-6.79%,-77.67%,-122.28%,17.49%,3.37%,518.99%,52.94%,51.21,-19.48%,0.00%,0.00%,6.66
Suryakunda Hydro Electric Limited,2025/26 Q3,989.00,"1,078.04",3.00,1.33%,9.77%,-21.38%,0.00%,0.00%,"6,820,879,816.00","689,674.40","-55,737.90","171,683.75","152,905.15","-22,608.47",0.00,88.21%,9.58%,78.62%,16.53%,-74.55%,0.00%,0.00%,0.00%,0.00%,0.00%,-5.21%,-17.12%,0.00%,-1.33%,-4.37%,0.00%,-4.37,-14.36,0.00,-4.37,91.91,-226.27,-226.27,-68.83,0.00,10.75,78.52%,78.52%,79.11%,359.57%,2.35,0.00,-4.69%,-7.02%,-95.47%,-152.03%,18.47%,4.28%,431.54%,56.37%,48.31,-22.08%,0.00%,0.00%,9.39
Shikhar Power Development Limited,2025/26 Q3,690.00,715.81,9.00,1.63%,16.95%,-13.43%,0.00%,0.00%,"6,762,000,000.00","980,000.00","-33,493.06","25,487.33","23,271.71","-48,664.50",0.00,93.74%,6.89%,128.27%,40.35%,-68.32%,0.00%,0.00%,0.00%,0.00%,0.00%,-8.20%,-3.89%,0.00%,-4.44%,-2.10%,0.00%,-6.62,-3.13,0.00,-6.62,96.58,-104.21,-104.21,-219.99,0.00,7.14,9995.52%,6367.63%,41.64%,170.66%,1.77,0.00,-4.80%,-7.02%,-22.37%,-30.74%,19.89%,3.16%,629.43%,53.09%,53.48,-15.78%,0.00%,0.00%,7.57
Palpa Cement Industries Limited,2025/26 Q3,635.00,725.05,23.00,-2.23%,4.27%,-24.67%,0.00%,0.00%,"23,812,500,000.00","3,750,000.00","1,109,240.31","3,415,397.88","591,154.38","57,311.54",0.00,17.31%,6.16%,11.15%,11.15%,1.68%,0.00%,0.00%,0.00%,0.00%,0.00%,3.15%,9.44%,0.00%,1.39%,4.17%,0.00%,2.03,6.11,0.00,2.03,129.57,311.61,311.61,103.87,0.00,4.90,229.18%,84.87%,55.79%,226.21%,1.86,0.00,-4.76%,-6.93%,-24.13%,-32.60%,18.00%,2.30%,782.61%,60.00%,43.01,-24.15%,0.00%,0.00%,3.39
Kalinchock Hydropower Limited,-,818.00,883.36,-12.40,-9.31%,-8.39%,0.00%,0.00%,0.00%,"4,499,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,2.04,0.00,-6.19%,-9.25%,-34.06%,-65.04%,27.33%,7.75%,352.65%,73.94%,44.31,0.00%,0.00%,0.00%,-12.02
Sopan Pharmaceuticals Limited,-,800.00,803.07,-7.20,-3.03%,0.93%,0.00%,0.00%,0.00%,"13,728,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,1.90,0.00,-6.67%,-10.13%,0.00%,0.00%,26.82%,6.85%,391.53%,64.44%,54.48,0.00%,0.00%,0.00%,-0.64
Appolo Hydropower Limited,-,828.00,810.33,-2.00,-0.72%,-5.00%,0.00%,0.00%,0.00%,"3,891,600,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.17,0.00,-5.78%,-8.80%,0.00%,0.00%,25.86%,9.21%,280.78%,64.95%,57.58,0.00%,0.00%,0.00%,-9.65
Yambaling Hydropower Limited,-,639.70,596.84,0.10,-0.82%,15.89%,0.00%,0.00%,0.00%,"4,477,900,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,-1.07,0.00,-5.54%,-8.43%,0.00%,0.00%,14.98%,3.31%,452.57%,60.89%,0.00,0.00%,0.00%,0.00%,0.00
Taksar Pikhuwa Khola Hydropower Limited,-,552.00,538.45,19.00,2.41%,11.29%,0.00%,0.00%,0.00%,"6,624,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,-1.46,0.00,-6.29%,-9.34%,0.00%,0.00%,13.41%,0.85%,1577.65%,45.46%,0.00,0.00%,0.00%,0.00%,0.00
Snow Rivers Limited,-,881.60,795.17,-34.40,-6.01%,0.30%,0.00%,0.00%,0.00%,"8,265,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0.00%,0.00%,0.00
Kalanga Hydro Limited,-,554.50,510.49,24.50,3.45%,16.25%,0.00%,0.00%,0.00%,"7,763,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0.00%,0.00%,0.00
Sanigad Hydro Limited,-,525.60,493.89,12.20,1.10%,14.56%,0.00%,0.00%,0.00%,"14,979,600,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0.00%,0.00%,0.00
Everest Colour Limited,-,"1,612.00",953.72,112.00,41.58%,0.00%,0.00%,0.00%,0.00%,"4,836,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0.00%,0.00%,0.00
